true
2
249
violet,pastelgreen
17,10
Date,SMA

DATA
2017-11-21 10:45,83.0439
2017-11-21 10:30,82.9300
2017-11-21 10:15,82.8040
2017-11-21 10:00,82.6885
2017-11-21 09:45,82.5927
2017-11-21 09:30,82.5137
2017-11-20 16:00,82.4617
2017-11-20 15:45,82.4587
2017-11-20 15:30,82.4512
2017-11-20 15:15,82.4577
2017-11-20 15:00,82.4629
2017-11-20 14:45,82.4613
2017-11-20 14:30,82.4683
2017-11-20 14:15,82.4743
2017-11-20 14:00,82.4713
2017-11-20 13:45,82.4733
2017-11-20 13:30,82.4748
2017-11-20 13:15,82.4748
2017-11-20 13:00,82.4713
2017-11-20 12:45,82.4668
2017-11-20 12:30,82.4573
2017-11-20 12:15,82.4577
2017-11-20 12:00,82.4492
2017-11-20 11:45,82.4477
2017-11-20 11:30,82.4445
2017-11-20 11:15,82.4315
2017-11-20 11:00,82.4190
2017-11-20 10:45,82.4090
2017-11-20 10:30,82.4130
2017-11-20 10:15,82.4075
2017-11-20 10:00,82.4095
2017-11-20 09:45,82.4096
2017-11-20 09:30,82.4151
2017-11-17 16:00,82.4071
2017-11-17 15:45,82.4041
2017-11-17 15:30,82.4060
2017-11-17 15:15,82.4120
2017-11-17 15:00,82.4220
2017-11-17 14:45,82.4290
2017-11-17 14:30,82.4380
2017-11-17 14:15,82.4477
2017-11-17 14:00,82.4536
2017-11-17 13:45,82.4606
2017-11-17 13:30,82.4621
2017-11-17 13:15,82.4671
2017-11-17 13:00,82.4782
2017-11-17 12:45,82.4882
2017-11-17 12:30,82.5112
2017-11-17 12:15,82.5232
2017-11-17 12:00,82.5507
2017-11-17 11:45,82.6005
