true
2
249
violet,pastelgreen
17,10
Date,WMA

DATA
2017-11-21 10:45,83.2920
2017-11-21 10:30,83.1747
2017-11-21 10:15,83.0172
2017-11-21 10:00,82.8533
2017-11-21 09:45,82.7029
2017-11-21 09:30,82.5636
2017-11-20 16:00,82.4657
2017-11-20 15:45,82.4528
2017-11-20 15:30,82.4439
2017-11-20 15:15,82.4462
2017-11-20 15:00,82.4524
2017-11-20 14:45,82.4570
2017-11-20 14:30,82.4676
2017-11-20 14:15,82.4748
2017-11-20 14:00,82.4763
2017-11-20 13:45,82.4733
2017-11-20 13:30,82.4723
2017-11-20 13:15,82.4677
2017-11-20 13:00,82.4761
2017-11-20 12:45,82.4683
2017-11-20 12:30,82.4641
2017-11-20 12:15,82.4710
2017-11-20 12:00,82.4654
2017-11-20 11:45,82.4568
2017-11-20 11:30,82.4590
2017-11-20 11:15,82.4447
2017-11-20 11:00,82.4309
2017-11-20 10:45,82.4143
2017-11-20 10:30,82.4185
2017-11-20 10:15,82.4080
2017-11-20 10:00,82.4125
2017-11-20 09:45,82.4097
2017-11-20 09:30,82.4134
2017-11-17 16:00,82.4001
2017-11-17 15:45,82.4009
2017-11-17 15:30,82.4056
2017-11-17 15:15,82.4132
2017-11-17 15:00,82.4172
2017-11-17 14:45,82.4170
2017-11-17 14:30,82.4221
2017-11-17 14:15,82.4299
2017-11-17 14:00,82.4349
2017-11-17 13:45,82.4369
2017-11-17 13:30,82.4482
2017-11-17 13:15,82.4658
2017-11-17 13:00,82.4802
2017-11-17 12:45,82.4908
2017-11-17 12:30,82.4928
2017-11-17 12:15,82.4971
2017-11-17 12:00,82.5063
2017-11-17 11:45,82.5242
